2025-11-15T17:13:24.928600 - shopping bag -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:24.930606 - beer can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:24.932606 - cup lid -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:24.933622 - tin can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:24.934633 - glass bottle -> glass -> recycling | co2_item_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T17:13:25.084938 - paper bag -> paper -> recycling | co2_item_kg=0.0400, co2_saved_kg=0.0200
2025-11-15T17:13:25.168039 - coffee cup with sleeve -> liquid -> trash | co2_item_kg=0.0200, co2_saved_kg=0.0000
2025-11-15T17:13:25.412622 - coffee cup -> paper -> recycling | co2_item_kg=0.0400, co2_saved_kg=0.0200
2025-11-15T17:13:26.127790 - beer can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:28.462139 - shopping bag -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:28.464166 - beer can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:28.465157 - glass bottle -> glass -> recycling | co2_item_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T17:13:28.467289 - tin can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:28.470233 - cup lid -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:28.607664 - paper bag -> paper -> recycling | co2_item_kg=0.0400, co2_saved_kg=0.0200
2025-11-15T17:13:28.920649 - coffee cup -> paper -> recycling | co2_item_kg=0.0400, co2_saved_kg=0.0200
2025-11-15T17:13:31.992358 - beer can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:31.994360 - shopping bag -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:31.995361 - cup lid -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:31.998359 - glass bottle -> glass -> recycling | co2_item_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T17:13:32.001362 - tin can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:32.245434 - paper bag -> paper -> recycling | co2_item_kg=0.0400, co2_saved_kg=0.0200
2025-11-15T17:13:33.023784 - coffee cup -> paper -> recycling | co2_item_kg=0.0400, co2_saved_kg=0.0200
2025-11-15T17:13:35.512810 - shopping bag -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T17:13:35.514769 - beer can -> metal -> recycling | co2_item_kg=0.1000, co2_saved_kg=0.0900
2025-11-15T17:13:35.516896 - glass bottle -> glass -> recycling | co2_item_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T17:13:35.519335 - cup lid -> plastic -> recycling | co2_item_kg=0.0800, co2_saved_kg=0.0560
